cost,age,miles,old,old_miles
11,5,0.8,0,0
16,12,3,0,0
55,30,4.9,0,0
66,40,7.1,0,0
76,42,7.6,0,0
83,53,10.1,0,0
135,66,12,0,0
160,73,12.8,0,0
163,79,13.9,0,0
211,101,18.6,0,0
258,114,21.1,0,0
322,129,23.2,0,0
374,150,25.3,0,0
408,180,28.7,0,0
478,195,30.5,0,0
489,196,30.6,0,0
536,204,31.4,0,0
590,212,32.9,0,0
604,224,35.3,0,0
704,227,35.3,0,0
985,232,36.6,0,0
1021,235,37,0,0
1030,239,38.1,0,0
1096,249,39.5,0,0
1114,260,40.7,0,0
1134,271,43,0,0
1157,272,43.1,0,0
1176,273.5,43.2,0,0
1182,276,43.4,0,0
1182,279,43.7,0,0
1231,281,44.3,0,0
1244,313,47.6,0,0
1257,326,48.9,0,0
1260,328,49.1,0,0
1342,329,49.2,0,0
1356,336.5,50,0,0
1467,338,50.1,0,0
1518,342.5,50.6,0,0
1557,344.5,50.8,0,0
1565,351,51.6,0,0
1583,366,53.2,0,0
1609,384,55.7,1,55.7
2825,388,56,1,56
2893,402,57.3,1,57.3
2918,432,60.2,1,60.2
3011,433,60.3,1,60.3
3077,436,60.6,1,60.6
3095,446,63,1,63
3154,456,63.7,1,63.7
3162,463.5,63.9,1,63.9
3217,465,65.1,1,65.1
3274,478,65.8,1,65.8
3320,485,67.7,1,67.7
3329,498.5,72.1,1,72.1
3401,526,72.1,1,72.1
3412,527,73.6,1,73.6
3425,538,74.4,1,74.4
